time,device,vmCount,ramUsed,ramTotal,ramUtilPercent,cpuUtilPercent,energyConsumed,anomaly_score,anomaly,is_anomaly
700,soil-sensor-node,2,400,512,78.13,4.36,0.001,0.08323207411758193,1,False
700,signal-monitor,2,600,1024,58.59,0.0,0.001,0.18541463418876158,1,False
700,irrigation-controller,2,300,2048,14.65,0.0,0.001,0.15670074585459698,1,False
700,cloud,4,2000,40000,5.0,19.83,0.001,0.06551798072214143,1,False
700,fog-0,4,3500,4000,87.5,44.18,0.001,0.052610815144092715,1,False
700,cam-1,2,800,1000,80.0,19.08,0.001,0.19536986119182798,1,False
700,cam-2,2,800,1000,80.0,23.96,0.001,0.19951976370566987,1,False
700,soil-sensor-node,2,400,512,78.13,1.81,0.001,0.10485686355434043,1,False
700,signal-monitor,2,600,1024,58.59,0.0,0.001,0.18541463418876158,1,False
700,irrigation-controller,2,300,2048,14.65,0.0,0.001,0.15670074585459698,1,False
710,cloud,4,2000,40000,5.0,19.16,0.001,0.04893914694468726,1,False
710,fog-0,4,3500,4000,87.5,53.25,0.001,0.08820381881387229,1,False
710,cam-1,2,800,1000,80.0,24.89,0.001,0.1960788137229884,1,False
710,cam-2,2,800,1000,80.0,16.97,0.001,0.1723525820323643,1,False
710,soil-sensor-node,2,400,512,78.13,0.0,0.001,0.1826863442513174,1,False
710,signal-monitor,2,600,1024,58.59,0.0,0.001,0.18541463418876158,1,False
710,irrigation-controller,2,300,2048,14.65,0.0,0.001,0.15670074585459698,1,False
800,cloud,4,2000,40000,5.0,25.09,0.001,0.10333293254586606,1,False
800,fog-0,4,3500,4000,87.5,42.82,0.001,0.0290744405886858,1,False
800,cam-1,2,800,1000,80.0,13.77,0.001,0.1476380641543708,1,False
800,cam-2,2,800,1000,80.0,19.12,0.001,0.19536986119182798,1,False
800,soil-sensor-node,2,400,512,78.13,0.11,0.001,0.14714456141902987,1,False
800,signal-monitor,2,600,1024,58.59,4.3,0.001,0.09759669751050537,1,False
800,irrigation-controller,2,300,2048,14.65,4.16,0.001,0.06327788412726765,1,False
